######################### RICH Reconstruction PMs indexed positions #######################
#PMPosition: NPMs (starting from 0, grouped by 8, x y couples)
PMPosition_SC_59= 144.00 202.65 162.00 202.65 180.00 202.65 153.00 218.24 171.00 218.24 144.00 233.83 162.00 233.83 180.00 233.83
PMPosition_SC_60= 189.00 187.06 207.00 187.06 225.00 187.06 198.00 202.65 216.00 202.65 189.00 218.24 207.00 218.24 225.00 218.24
PMPosition_SC_61= -270.00 46.77 -252.00 46.77 -234.00 46.77 -261.00 62.35 -243.00 62.35 -270.00 77.94 -252.00 77.94 -234.00 77.94
PMPosition_SC_62= -225.00 31.18 -207.00 31.18 -189.00 31.18 -216.00 46.77 -198.00 46.77 -225.00 62.35 -207.00 62.35 -189.00 62.35
PMPosition_SC_63= -180.00 15.59 -162.00 15.59 -144.00 15.59 -171.00 31.18 -153.00 31.18 -180.00 46.77 -162.00 46.77 -144.00 46.77
PMPosition_SC_64= -135.00 0.00 -117.00 0.00 -99.00 0.00 -126.00 15.59 -108.00 15.59 -135.00 31.18 -117.00 31.18 -99.00 31.18
PMPosition_SC_65= -90.00 -15.59 -72.00 -15.59 -54.00 -15.59 -81.00 0.00 -63.00 0.00 -90.00 15.59 -72.00 15.59 -54.00 15.59
PMPosition_SC_66= -45.00 -31.18 -27.00 -31.18 -9.00 -31.18 -36.00 -15.59 -18.00 -15.59 -45.00 0.00 -27.00 0.00 -9.00 0.00
PMPosition_SC_67= 0.00 -46.77 18.00 -46.77 36.00 -46.77 9.00 -31.18 27.00 -31.18 0.00 -15.59 18.00 -15.59 36.00 -15.59
PMPosition_SC_68= 45.00 -62.35 63.00 -62.35 81.00 -62.35 54.00 -46.77 72.00 -46.77 45.00 -31.18 63.00 -31.18 81.00 -31.18
PMPosition_SC_69= 90.00 -77.94 108.00 -77.94 126.00 -77.94 99.00 -62.35 117.00 -62.35 90.00 -46.77 108.00 -46.77 126.00 -46.77
PMPosition_SC_70= 135.00 -93.53 153.00 -93.53 171.00 -93.53 144.00 -77.94 162.00 -77.94 135.00 -62.35 153.00 -62.35 171.00 -62.35
PMPosition_SC_71= 180.00 -109.12 198.00 -109.12 216.00 -109.12 189.00 -93.53 207.00 -93.53 180.00 -77.94 198.00 -77.94 216.00 -77.94
PMPosition_SC_72= 225.00 -124.71 243.00 -124.71 261.00 -124.71 234.00 -109.12 252.00 -109.12 225.00 -93.53 243.00 -93.53 261.00 -93.53
PMPosition_SC_73= -279.00 0.00 -261.00 0.00 -243.00 0.00 -270.00 15.59 -252.00 15.59 -279.00 31.18 -261.00 31.18 -243.00 31.18
PMPosition_SC_74= -234.00 -15.59 -216.00 -15.59 -198.00 -15.59 -225.00 0.00 -207.00 0.00 -234.00 15.59 -216.00 15.59 -198.00 15.59
PMPosition_SC_75= -189.00 -31.18 -171.00 -31.18 -153.00 -31.18 -180.00 -15.59 -162.00 -15.59 -189.00 0.00 -171.00 0.00 -153.00 0.00
PMPosition_SC_76= -144.00 -46.77 -126.00 -46.77 -108.00 -46.77 -135.00 -31.18 -117.00 -31.18 -144.00 -15.59 -126.00 -15.59 -108.00 -15.59
PMPosition_SC_77= -99.00 -62.35 -81.00 -62.35 -63.00 -62.35 -90.00 -46.77 -72.00 -46.77 -99.00 -31.18 -81.00 -31.18 -63.00 -31.18
PMPosition_SC_78= -54.00 -77.94 -36.00 -77.94 -18.00 -77.94 -45.00 -62.35 -27.00 -62.35 -54.00 -46.77 -36.00 -46.77 -18.00 -46.77
PMPosition_SC_79= -9.00 -93.53 9.00 -93.53 27.00 -93.53 0.00 -77.94 18.00 -77.94 -9.00 -62.35 9.00 -62.35 27.00 -62.35
PMPosition_SC_80= 36.00 -109.12 54.00 -109.12 72.00 -109.12 45.00 -93.53 63.00 -93.53 36.00 -77.94 54.00 -77.94 72.00 -77.94
PMPosition_SC_81= 81.00 -124.71 99.00 -124.71 117.00 -124.71 90.00 -109.12 108.00 -109.12 81.00 -93.53 99.00 -93.53 117.00 -93.53
PMPosition_SC_82= 126.00 -140.30 144.00 -140.30 162.00 -140.30 135.00 -124.71 153.00 -124.71 126.00 -109.12 144.00 -109.12 162.00 -109.12
PMPosition_SC_83= 171.00 -155.88 189.00 -155.88 207.00 -155.88 180.00 -140.30 198.00 -140.30 171.00 -124.71 189.00 -124.71 207.00 -124.71
PMPosition_SC_84= 216.00 -171.47 234.00 -171.47 252.00 -171.47 225.00 -155.88 243.00 -155.88 216.00 -140.30 234.00 -140.30 252.00 -140.30
PMPosition_SC_85= -288.00 -46.77 -270.00 -46.77 -252.00 -46.77 -279.00 -31.18 -261.00 -31.18 -288.00 -15.59 -270.00 -15.59 -252.00 -15.59
PMPosition_SC_86= -243.00 -62.35 -225.00 -62.35 -207.00 -62.35 -234.00 -46.77 -216.00 -46.77 -243.00 -31.18 -225.00 -31.18 -207.00 -31.18
PMPosition_SC_87= -198.00 -77.94 -180.00 -77.94 -162.00 -77.94 -189.00 -62.35 -171.00 -62.35 -198.00 -46.77 -180.00 -46.77 -162.00 -46.77
PMPosition_SC_88= -153.00 -93.53 -135.00 -93.53 -117.00 -93.53 -144.00 -77.94 -126.00 -77.94 -153.00 -62.35 -135.00 -62.35 -117.00 -62.35
PMPosition_SC_89= -108.00 -109.12 -90.00 -109.12 -72.00 -109.12 -99.00 -93.53 -81.00 -93.53 -108.00 -77.94 -90.00 -77.94 -72.00 -77.94
PMPosition_SC_90= -63.00 -124.71 -45.00 -124.71 -27.00 -124.71 -54.00 -109.12 -36.00 -109.12 -63.00 -93.53 -45.00 -93.53 -27.00 -93.53
PMPosition_SC_91= -18.00 -140.30 0.00 -140.30 18.00 -140.30 -9.00 -124.71 9.00 -124.71 -18.00 -109.12 0.00 -109.12 18.00 -109.12
PMPosition_SC_92= 27.00 -155.88 45.00 -155.88 63.00 -155.88 36.00 -140.30 54.00 -140.30 27.00 -124.71 45.00 -124.71 63.00 -124.71
PMPosition_SC_93= 72.00 -171.47 90.00 -171.47 108.00 -171.47 81.00 -155.88 99.00 -155.88 72.00 -140.30 90.00 -140.30 108.00 -140.30
PMPosition_SC_94= 117.00 -187.06 135.00 -187.06 153.00 -187.06 126.00 -171.47 144.00 -171.47 117.00 -155.88 135.00 -155.88 153.00 -155.88
PMPosition_SC_95= 162.00 -202.65 180.00 -202.65 198.00 -202.65 171.00 -187.06 189.00 -187.06 162.00 -171.47 180.00 -171.47 198.00 -171.47
PMPosition_SC_96= -297.00 -93.53 -279.00 -93.53 -261.00 -93.53 -288.00 -77.94 -270.00 -77.94 -297.00 -62.35 -279.00 -62.35 -261.00 -62.35
PMPosition_SC_97= -252.00 -109.12 -234.00 -109.12 -216.00 -109.12 -243.00 -93.53 -225.00 -93.53 -252.00 -77.94 -234.00 -77.94 -216.00 -77.94
PMPosition_SC_98= -207.00 -124.71 -189.00 -124.71 -171.00 -124.71 -198.00 -109.12 -180.00 -109.12 -207.00 -93.53 -189.00 -93.53 -171.00 -93.53
PMPosition_SC_99= -162.00 -140.30 -144.00 -140.30 -126.00 -140.30 -153.00 -124.71 -135.00 -124.71 -162.00 -109.12 -144.00 -109.12 -126.00 -109.12
PMPosition_SC_100= -117.00 -155.88 -99.00 -155.88 -81.00 -155.88 -108.00 -140.30 -90.00 -140.30 -117.00 -124.71 -99.00 -124.71 -81.00 -124.71
PMPosition_SC_101= -72.00 -171.47 -54.00 -171.47 -36.00 -171.47 -63.00 -155.88 -45.00 -155.88 -72.00 -140.30 -54.00 -140.30 -36.00 -140.30
PMPosition_SC_102= -27.00 -187.06 -9.00 -187.06 9.00 -187.06 -18.00 -171.47 0.00 -171.47 -27.00 -155.88 -9.00 -155.88 9.00 -155.88
PMPosition_SC_103= 18.00 -202.65 36.00 -202.65 54.00 -202.65 27.00 -187.06 45.00 -187.06 18.00 -171.47 36.00 -171.47 54.00 -171.47
PMPosition_SC_104= 63.00 -218.24 81.00 -218.24 99.00 -218.24 72.00 -202.65 90.00 -202.65 63.00 -187.06 81.00 -187.06 99.00 -187.06
PMPosition_SC_105= 108.00 -233.83 126.00 -233.83 144.00 -233.83 117.00 -218.24 135.00 -218.24 108.00 -202.65 126.00 -202.65 144.00 -202.65
PMPosition_SC_106= 153.00 -249.42 171.00 -249.42 189.00 -249.42 162.00 -233.83 180.00 -233.83 153.00 -218.24 171.00 -218.24 189.00 -218.24
PMPosition_SC_107= -261.00 -155.88 -243.00 -155.88 -225.00 -155.88 -252.00 -140.30 -234.00 -140.30 -261.00 -124.71 -243.00 -124.71 -225.00 -124.71
PMPosition_SC_108= -216.00 -171.47 -198.00 -171.47 -180.00 -171.47 -207.00 -155.88 -189.00 -155.88 -216.00 -140.30 -198.00 -140.30 -180.00 -140.30
PMPosition_SC_109= -171.00 -187.06 -153.00 -187.06 -135.00 -187.06 -162.00 -171.47 -144.00 -171.47 -171.00 -155.88 -153.00 -155.88 -135.00 -155.88
PMPosition_SC_110= -126.00 -202.65 -108.00 -202.65 -90.00 -202.65 -117.00 -187.06 -99.00 -187.06 -126.00 -171.47 -108.00 -171.47 -90.00 -171.47
PMPosition_SC_111= -81.00 -218.24 -63.00 -218.24 -45.00 -218.24 -72.00 -202.65 -54.00 -202.65 -81.00 -187.06 -63.00 -187.06 -45.00 -187.06
PMPosition_SC_112= -36.00 -233.83 -18.00 -233.83 0.00 -233.83 -27.00 -218.24 -9.00 -218.24 -36.00 -202.65 -18.00 -202.65 0.00 -202.65
PMPosition_SC_113= 9.00 -249.42 27.00 -249.42 45.00 -249.42 18.00 -233.83 36.00 -233.83 9.00 -218.24 27.00 -218.24 45.00 -218.24
PMPosition_SC_114= 54.00 -265.00 72.00 -265.00 90.00 -265.00 63.00 -249.42 81.00 -249.42 54.00 -233.83 72.00 -233.83 90.00 -233.83
PMPosition_SC_115= 99.00 -280.59 117.00 -280.59 135.00 -280.59 108.00 -265.00 126.00 -265.00 99.00 -249.42 117.00 -249.42 135.00 -249.42
